L1:32 L2:32 BS:16 SS:0.08 R:77.0666666667
L1:32 L2:24 BS:16 SS:0.08 R:69.875
L1:32 L2:20 BS:16 SS:0.08 R:53.5125
L1:64 L2:32 BS:16 SS:0.08 R:88.925
L1:48 L2:32 BS:16 SS:0.08 R:82.7
L1:48 L2:48 BS:16 SS:0.08 R:93.2666666667
L1:48 L2:24 BS:16 SS:0.08 R:79.3708333333
L1:32 L2:24 BS:32 SS:0.08 R:70.2416666667
L1:32 L2:32 BS:32 SS:0.08 R:78.8125
L1:32 L2:32 BS:13 SS:0.08 R:70.175
L1:32 L2:32 BS:16 SS:0.08 R:71.0375
L1:32 L2:32 BS:32 SS:0.01 R:59.7583333333
L1:30 L2:18 BS:16 SS:0.08 R:48.3333333333
L1:30 L2:18 BS:32 SS:0.08 R:51.2458333333
L1:32 L2:32 BS:16 SS:0.1 R:77.9791666667
L1:24 L2:24 BS:16 SS:0.1 R:60.3958333333
L1:64 L2:10 BS:8 SS:0.08 R:29.5333333333
L1:64 L2:10 BS:16 SS:0.08 R:30.8833333333
L1:64 L2:10 BS:32 SS:0.08 R:26.0416666667
L1:32 L2:32 BS:16 SS:0.04 R:76.05
L1:32 L2:32 BS:16 SS:0.03 R:73.425
L1:32 L2:32 BS:16 SS:0.02 R:69.4333333333
L1:32 L2:32 BS:16 SS:0.01 R:63.5958333333
L1:32 L2:31 BS:16 SS:0.08 R:73.5125
L1:31 L2:31 BS:16 SS:0.03 R:62.9208333333
L1:31 L2:33 BS:16 SS:0.08 R:74.3958333333
L1:30 L2:29 BS:16 SS:0.08 R:79.1708333333
L1:30 L2:22 BS:16 SS:0.08 R:64.0
L1:42 L2:42 BS:16 SS:0.08 R:92.6375
L1:42 L2:21 BS:16 SS:0.08 R:74.9875
L1:16 L2:10 BS:16 SS:0.08 R:34.8791666667
L1:32 L2:12 BS:16 SS:0.08 R:37.4333333333
L1:41 L2:22 BS:16 SS:0.08 R:67.5333333333
L1:42 L2:32 BS:16 SS:0.04 R:73.4666666667
L1:32 L2:32 BS:15 SS:0.08 R:79.1958333333
L1:64 L2:64 BS:16 SS:0.08 R:97.8458333333
L1:42 L2:42 BS:16 SS:0.1 TV:0.1 R:86.359375
L1:42 L2:42 BS:16 SS:0.1 TV:0.5 R:50.3203125
L1:42 L2:42 BS:16 SS:0.1 TV:1   R:42.6609375
L1:42 L2:42 BS:16 SS:0.1 TV:0.3 R:86.440625
L1:42 L2:42 BS:16 SS:0.1 TV:0.8 R:79.096875
L1:42 L2:42 BS:16 SS:0.1 TV:0.2 R:83.9296875
L1:42 L2:42 BS:16 SS:0.1 TV:0.9 R:80.09375
L1:42 L2:42 BS:16 SS:0.1 TV:0.4 R:81.509375
L1:42 L2:42 BS:16 SS:0.1 TV:0.7 R:78.9421875
